SessionID,ConceptA,ConceptB,Distance,QstNr,Duration,TotalClicks,Percentage,AvgPercentage
1dfc8599-8b54-47a8-948d-b6a6df0ba2cb,school,tree trunk,183,0,19606,6.0,0.36243578324876247,0.32376688401487164
ed2fed40-af69-4e30-bd01-e12ab3210202,school,tree trunk,118,2,20054,7.0,0.13201785564335447,0.32376688401487164
1ffda676-ed6d-49ad-be8f-0bb93841bcf6,school,tree trunk,228,0,29354,9.0,0.24443215889920974,0.32376688401487164
b5eec5ed-a3c5-4cae-9535-6015fc76c6ee,school,tree trunk,379,1,18258,9.0,0.7031391884453917,0.32376688401487164
4b623012-c785-4dd3-b628-3900071ae62b,school,tree trunk,117,2,19123,9.0,0.25057631785251133,0.32376688401487164
c8dc1d0d-575b-4826-814d-627228bb7a12,park,street,193,1,26445,13.0,0.3245233504694692,0.3245233504694692
55c4ea08-97b8-4169-97c2-a0a96f73b6f9,teacher,university,101,0,59309,12.0,0.3176496381918236,0.3366824371982641
9a788dc4-63a7-4aa2-910b-b07b061b353a,teacher,university,157,1,29405,20.0,0.3557152362047046,0.3366824371982641
b22fcb29-1c68-4667-b605-29632f061600,tree trunk,wall,132,1,19204,6.0,0.3402993327738527,0.3402993327738527
b5eec5ed-a3c5-4cae-9535-6015fc76c6ee,mineral,teacher,150,3,22572,8.0,0.34229052262133525,0.34229052262133525
1dfc8599-8b54-47a8-948d-b6a6df0ba2cb,house,teacher,136,3,21702,11.0,0.20384342589278903,0.34244794981075977
dfaab6b6-ae82-4bb5-aa8c-17883d6b97b7,house,teacher,387,3,19841,7.0,0.48105247372873045,0.34244794981075977
12d82a3c-493e-4bb0-a456-310d2581cc78,chemistry,tree trunk,217,0,76467,38.0,0.4143591845007328,0.3454078831061178
fab36e73-89b8-430f-ad1b-b7a2d4903caa,chemistry,tree trunk,134,3,41415,16.0,0.27645658171150284,0.3454078831061178
080702b3-536f-4c17-9b4f-0cd9a820f3df,hospital,tree,309,3,23102,10.0,0.5755202859754907,0.34733423653570106
adbdeeba-4e56-4faa-808e-9e1eee47da90,hospital,tree,174,3,24565,6.0,0.39929614180602385,0.34733423653570106
0e8a5da8-d37e-4833-87a1-8e485cd066bb,hospital,tree,118,0,23582,9.0,0.18117426082284505,0.34733423653570106
4b623012-c785-4dd3-b628-3900071ae62b,hospital,tree,121,0,30377,10.0,0.23334625753844457,0.34733423653570106
ada91a01-fe01-416c-bff0-40f20596d101,air,forest,5,0,3889,1.0,0.25,0.34748773475951567
080702b3-536f-4c17-9b4f-0cd9a820f3df,air,forest,177,2,7325,5.0,0.3194554204016327,0.34748773475951567
9a788dc4-63a7-4aa2-910b-b07b061b353a,air,forest,152,2,22289,14.0,0.5148889296656494,0.34748773475951567
d5ac9a96-6169-48ce-830c-60b0e155cc14,air,forest,166,0,21372,8.0,0.3056065889707806,0.34748773475951567
55c4ea08-97b8-4169-97c2-a0a96f73b6f9,chemistry,water,128,3,36849,12.0,0.5333079460707677,0.3476838411200954
12d82a3c-493e-4bb0-a456-310d2581cc78,chemistry,water,85,0,76467,38.0,0.16205973616942312,0.3476838411200954
080702b3-536f-4c17-9b4f-0cd9a820f3df,hospital,mineral,144,3,23102,10.0,0.268596206291487,0.3509144897341041
12d82a3c-493e-4bb0-a456-310d2581cc78,hospital,mineral,227,3,86956,38.0,0.4332327731767212,0.3509144897341041
a4301f4d-0d04-4609-9fee-6a5564afa665,branch,house,214,0,42652,18.0,0.3528546678530014,0.3528546678530014
080702b3-536f-4c17-9b4f-0cd9a820f3df,energy,teacher,179,0,10278,8.0,0.3239097568424359,0.35619507498701547
f5cd7f51-89a2-4baa-96e1-3dc505ed2e0e,energy,teacher,139,0,16665,7.0,0.23744207096325526,0.35619507498701547
b5eec5ed-a3c5-4cae-9535-6015fc76c6ee,energy,teacher,118,3,22572,8.0,0.27102829575021425,0.35619507498701547
fab36e73-89b8-430f-ad1b-b7a2d4903caa,energy,teacher,235,1,67189,28.0,0.5924001763921565,0.35619507498701547
ed2fed40-af69-4e30-bd01-e12ab3210202,house,plant,237,0,17727,7.0,0.3767474034687313,0.35771529114821465
b7cdfea6-5a5b-4558-92b4-3144604b335d,house,plant,281,3,23131,10.0,0.33868317882769805,0.35771529114821465
ed2fed40-af69-4e30-bd01-e12ab3210202,city,wall,161,1,17432,5.0,0.2783208789874324,0.3598850209031147
dfaab6b6-ae82-4bb5-aa8c-17883d6b97b7,city,wall,114,0,14523,6.0,0.2431495392005093,0.3598850209031147
1ffda676-ed6d-49ad-be8f-0bb93841bcf6,city,wall,367,1,25703,9.0,0.5146226685715868,0.3598850209031147
726cb4f2-98f0-4819-bd4a-b8fe078b78a5,city,wall,311,0,46614,15.0,0.2527953661867808,0.3598850209031147
c8dc1d0d-575b-4826-814d-627228bb7a12,city,wall,347,3,34192,17.0,0.510536651569264,0.3598850209031147
dfaab6b6-ae82-4bb5-aa8c-17883d6b97b7,building,energy,124,2,23805,9.0,0.19898283859963,0.3648544147243673
e6c801f3-8c8b-4b53-b69f-698362463292,building,energy,522,3,23205,10.0,0.5585047711292521,0.3648544147243673
67f6d3e6-7e95-447d-81b8-20eb845e030e,building,energy,141,2,27209,13.0,0.3370756344442198,0.3648544147243673
9a788dc4-63a7-4aa2-910b-b07b061b353a,air,plant,131,2,22289,14.0,0.4445412602727026,0.36663764627650813
0e46c27b-8168-4d5d-ac5b-e585c8a2c0c2,air,plant,207,3,71568,24.0,0.45593550612918765,0.36663764627650813
67f6d3e6-7e95-447d-81b8-20eb845e030e,air,plant,159,3,48676,20.0,0.3873616913257643,0.36663764627650813
b7cdfea6-5a5b-4558-92b4-3144604b335d,air,plant,148,3,23131,10.0,0.17871212737837813,0.36663764627650813
b22fcb29-1c68-4667-b605-29632f061600,forest,stone,118,3,12275,5.0,0.17145079054888987,0.3675187797272389
e9798112-59da-4dab-809e-0658ed5d9fb2,forest,stone,342,1,20972,8.0,0.5635867689055879,0.3675187797272389
a4301f4d-0d04-4609-9fee-6a5564afa665,energy,mineral,86,1,21443,10.0,0.12900852434351195,0.3714709292962344
55c4ea08-97b8-4169-97c2-a0a96f73b6f9,energy,mineral,111,1,32936,15.0,0.4509485656661461,0.3714709292962344
b5eec5ed-a3c5-4cae-9535-6015fc76c6ee,energy,mineral,154,3,22572,8.0,0.35189570105088336,0.3714709292962344
c8dc1d0d-575b-4826-814d-627228bb7a12,energy,mineral,330,1,26445,13.0,0.5540309261243961,0.3714709292962344
a4301f4d-0d04-4609-9fee-6a5564afa665,infrastructure,tree trunk,80,3,22884,12.0,0.1212645000658341,0.377751054292474
0e46c27b-8168-4d5d-ac5b-e585c8a2c0c2,infrastructure,tree trunk,232,0,43394,12.0,0.3827834502925613,0.377751054292474
fa8981a0-a672-44b1-a0ee-24dd41cf934a,infrastructure,tree trunk,123,2,31955,12.0,0.35495054702164786,0.377751054292474
67f6d3e6-7e95-447d-81b8-20eb845e030e,infrastructure,tree trunk,238,3,48676,20.0,0.5773459173019401,0.377751054292474
726cb4f2-98f0-4819-bd4a-b8fe078b78a5,infrastructure,tree trunk,189,3,38271,12.0,0.6541615926254303,0.377751054292474
dfe173f0-4374-4a7a-8316-a8126dc68092,infrastructure,tree trunk,123,3,16387,9.0,0.28416131588210697,0.377751054292474
c8dc1d0d-575b-4826-814d-627228bb7a12,infrastructure,tree trunk,431,0,40843,20.0,0.2695900568577974,0.377751054292474
f5cd7f51-89a2-4baa-96e1-3dc505ed2e0e,air,culture,320,3,16179,4.0,0.4930982876256963,0.37829617671101146
ed2fed40-af69-4e30-bd01-e12ab3210202,air,culture,222,3,19988,7.0,0.26349406579632656,0.37829617671101146
adbdeeba-4e56-4faa-808e-9e1eee47da90,street,water,197,0,50098,10.0,0.3823685776020418,0.3823685776020418
080702b3-536f-4c17-9b4f-0cd9a820f3df,building,forest,170,2,7325,5.0,0.3068287001021045,0.38400034846078923
dfaab6b6-ae82-4bb5-aa8c-17883d6b97b7,building,forest,287,2,23805,9.0,0.46117199681947396,0.38400034846078923
a4301f4d-0d04-4609-9fee-6a5564afa665,branch,forest,85,0,42652,18.0,0.14108869396172313,0.3881946090233192
b22fcb29-1c68-4667-b605-29632f061600,branch,forest,129,3,12275,5.0,0.18843209895012644,0.3881946090233192
1dfc8599-8b54-47a8-948d-b6a6df0ba2cb,branch,forest,521,1,20548,9.0,1.0,0.3881946090233192
b5eec5ed-a3c5-4cae-9535-6015fc76c6ee,branch,forest,118,2,20635,11.0,0.22325764318142724,0.3881946090233192
a4301f4d-0d04-4609-9fee-6a5564afa665,gas,university,81,2,24088,10.0,0.12140029708021802,0.3911861729455411
f5cd7f51-89a2-4baa-96e1-3dc505ed2e0e,gas,university,344,3,16179,4.0,0.5306062612223179,0.3911861729455411
b5eec5ed-a3c5-4cae-9535-6015fc76c6ee,gas,university,265,0,32190,18.0,0.6711846258092877,0.3911861729455411
dfe173f0-4374-4a7a-8316-a8126dc68092,gas,university,120,0,37353,14.0,0.2415535076703408,0.3911861729455411
b5eec5ed-a3c5-4cae-9535-6015fc76c6ee,branch,wall,151,2,20635,11.0,0.2854701758234025,0.39645632147388676
4b623012-c785-4dd3-b628-3900071ae62b,branch,wall,339,3,24517,9.0,0.6782728753349694,0.39645632147388676
ccd295ca-104d-4f40-bf6c-c6be121d523c,branch,wall,132,3,24408,6.0,0.22562591326328837,0.39645632147388676
0e8a5da8-d37e-4833-87a1-8e485cd066bb,park,roof,491,0,23582,9.0,0.7504457945622709,0.3974470977412678
dfaab6b6-ae82-4bb5-aa8c-17883d6b97b7,park,roof,311,3,19841,7.0,0.38613337507405304,0.3974470977412678
