SessionID,ConceptA,ConceptB,xConceptA,yConceptB,xConceptB,yConceptB,Distance,NearestDistance,QstNr,QstDuration,ConceptClicksPerTest,RelativeDistance,NearestRelativeDistance
2350fd2e-2be4-4270-a39c-c6c24dec620b,Photosynthese,Infrastruktur,638.0,335.0,1083.0,40.0,533.9007398384085,406.5095324835569,5.0,19407.0,12.0,0.8423903649065846,0.7990568716315808
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Infrastruktur,868.0,185.0,1083.0,40.0,259.3260495977988,132.09844813622905,5.0,19407.0,12.0,0.40916550446547506,0.25965977247874605
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Schule,521.0,333.0,755.0,189.0,274.75807540452746,148.49915824677257,5.0,19407.0,12.0,0.43351420616330855,0.2918978851581761
2350fd2e-2be4-4270-a39c-c6c24dec620b,Photosynthese,Schule,638.0,335.0,755.0,189.0,187.09623192357455,68.15423684555495,5.0,19407.0,12.0,0.2952010576543665,0.1339676119020648
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Schule,868.0,185.0,755.0,189.0,113.07077429645558,13.0,5.0,19407.0,12.0,0.17840344414710826,0.02555349506258068
2350fd2e-2be4-4270-a39c-c6c24dec620b,Photosynthese,Laub,638.0,335.0,521.0,333.0,117.01709276853532,17.0,5.0,19407.0,12.0,0.18462995857137932,0.033416108927990115
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Laub,868.0,185.0,521.0,333.0,377.24395290050705,256.1893830743187,5.0,19407.0,12.0,0.5952167648968655,0.5035795488827072
2350fd2e-2be4-4270-a39c-c6c24dec620b,Lehrer,Photosynthese,868.0,185.0,638.0,335.0,274.5906043549196,147.648230602334,5.0,19407.0,12.0,0.4332499697836527,0.2902252562842704
2350fd2e-2be4-4270-a39c-c6c24dec620b,Erde,Lehrer,462.0,119.0,392.0,622.0,507.8474180302584,423.00000000000006,6.0,14898.0,7.0,0.8806979288725442,0.9236864750087745
2350fd2e-2be4-4270-a39c-c6c24dec620b,Infrastruktur,Lehrer,488.0,423.0,392.0,622.0,220.94569468536832,119.0,6.0,14898.0,7.0,0.38315921041291107,0.25985506034525807
2350fd2e-2be4-4270-a39c-c6c24dec620b,Fahrrad,Lehrer,345.0,421.0,392.0,622.0,206.42189806316577,121.0,6.0,14898.0,7.0,0.35797235871215527,0.26422237228383383
2350fd2e-2be4-4270-a39c-c6c24dec620b,Laub,Lehrer,696.0,132.0,392.0,622.0,576.6420033261538,457.94759525517765,6.0,14898.0,7.0,1.0,1.0
