Concept,x,y,dragStart,dragStop,oldX,oldY
Infrastruktur,433.0,80.0,2532,3255,56.0,52.0
Schule,205.0,274.0,3800,4904,52.0,49.0
Lehrer,651.0,91.0,5808,6538,48.0,46.0
Laub,52.0,287.0,7270,8083,44.0,43.0
Lehrer,651.0,91.0,10388,11979,40.0,40.0
Infrastruktur,531.0,88.0,12723,14066,433.0,80.0
Schule,668.0,139.0,15227,17039,205.0,274.0
Laub,288.0,323.0,18249,19104,52.0,287.0
Physik,660.0,66.0,0,0,660.0,66.0
Laub,384.0,159.0,2681,3112,56.0,52.0
Baum,150.0,211.0,3752,4608,52.0,49.0
Infrastruktur,462.0,66.0,5501,5911,48.0,46.0
Lehrer,46.0,294.0,6633,7408,44.0,43.0
Baum,377.0,213.0,10069,11083,150.0,211.0
Infrastruktur,605.0,84.0,12846,13153,462.0,66.0
Baum,380.0,265.0,15496,16626,377.0,213.0
Physik,65.0,228.0,18316,19764,40.0,40.0
Ast,501.0,100.0,2551,3169,56.0,52.0
Schule,245.0,205.0,3817,4556,52.0,49.0
Physik,249.0,168.0,5364,7266,48.0,46.0
Schule,245.0,205.0,8091,11384,44.0,43.0
Fahrrad,866.0,267.0,12463,14614,40.0,40.0
Photosynthese,250.0,263.0,0,0,250.0,263.0
Physik,363.0,197.0,2670,3078,56.0,52.0
Ast,119.0,311.0,3842,4318,52.0,49.0
Photosynthese,508.0,59.0,5691,6273,48.0,46.0
Lehrer,100.0,123.0,7211,8286,44.0,43.0
Lehrer,279.0,76.0,9015,10182,100.0,123.0
Physik,363.0,197.0,12571,13944,279.0,76.0
Photosynthese,368.0,54.0,15533,16938,508.0,59.0
Fahrrad,147.0,90.0,18470,19132,40.0,40.0
Ast,140.0,455.0,20702,21258,119.0,311.0
Ast,184.0,480.0,22376,24978,140.0,455.0
Erde,992.0,211.0,29677,30430,56.0,52.0
Baum,922.0,312.0,32055,33720,52.0,49.0
Physik,559.0,518.0,34475,35447,48.0,46.0
Lehrer,156.0,347.0,36142,36396,44.0,43.0
Fahrrad,561.0,108.0,37175,37428,40.0,40.0
Lehrer,417.0,452.0,41602,42830,156.0,347.0
Fahrrad,386.0,347.0,44623,47398,561.0,108.0
Lehrer,471.0,482.0,47975,50029,417.0,452.0
Erde,781.0,183.0,51309,54911,992.0,211.0
Physik,568.0,393.0,55543,56616,559.0,518.0
Lehrer,554.0,476.0,56944,58047,471.0,482.0
Fahrrad,453.0,378.0,59043,62758,386.0,347.0
Erde,749.0,273.0,63678,69729,781.0,183.0
Baum,856.0,250.0,72045,73414,922.0,312.0
Fahrrad,454.0,426.0,80410,82665,453.0,378.0
Erde,747.0,298.0,84425,85358,749.0,273.0
Baum,831.0,240.0,85759,86452,856.0,250.0
Photosynthese,857.0,566.0,1715,2103,56.0,52.0
Laub,830.0,212.0,2866,3316,52.0,49.0
Physik,564.0,228.0,3890,4151,48.0,46.0
Schule,336.0,476.0,4765,4984,44.0,43.0
Infrastruktur,406.0,413.0,5698,6018,40.0,40.0
Schule,492.0,366.0,6447,7599,336.0,476.0
Infrastruktur,403.0,438.0,9248,9451,406.0,413.0
Infrastruktur,409.0,416.0,9928,10563,403.0,438.0
Infrastruktur,398.0,410.0,11532,12396,409.0,416.0
Physik,585.0,294.0,13027,14571,564.0,228.0
Photosynthese,918.0,154.0,16733,17737,857.0,566.0
Laub,756.0,206.0,18714,21303,830.0,212.0
Photosynthese,842.0,146.0,21694,22320,918.0,154.0
Infrastruktur,1058.0,559.0,1402,1684,56.0,52.0
Ast,1267.0,185.0,2467,2762,52.0,49.0
Lehrer,761.0,424.0,4005,4222,48.0,46.0
Laub,220.0,383.0,4800,5021,44.0,43.0
Fahrrad,761.0,336.0,7361,8904,40.0,40.0
Infrastruktur,899.0,375.0,11967,16489,1058.0,559.0
Ast,353.0,444.0,17434,19272,1267.0,185.0
Laub,590.0,186.0,24869,26835,220.0,383.0
Ast,512.0,123.0,27971,29638,353.0,444.0
Infrastruktur,903.0,374.0,35651,38089,899.0,375.0
Lehrer,784.0,423.0,41768,44308,761.0,424.0
Infrastruktur,893.0,363.0,45102,45640,903.0,374.0
Fahrrad,729.0,319.0,49435,50089,761.0,336.0
Lehrer,796.0,396.0,50636,51265,784.0,423.0
Infrastruktur,870.0,354.0,51728,54718,893.0,363.0
Lehrer,755.0,407.0,55120,56072,796.0,396.0
Infrastruktur,853.0,355.0,56435,56766,870.0,354.0
Erde,893.0,412.0,1468,1853,56.0,52.0
Laub,958.0,268.0,2401,3204,52.0,49.0
Lehrer,669.0,234.0,3786,4157,48.0,46.0
Baum,598.0,534.0,4801,5091,44.0,43.0
Schule,798.0,586.0,5686,6579,40.0,40.0
Laub,491.0,458.0,11387,12938,958.0,268.0
Schule,802.0,146.0,15235,15974,798.0,586.0
Lehrer,695.0,138.0,16420,17073,669.0,234.0
Erde,706.0,354.0,17769,18423,893.0,412.0
Baum,764.0,601.0,19153,19703,598.0,534.0
Laub,654.0,593.0,20186,22352,491.0,458.0
Lehrer,643.0,215.0,23003,23857,695.0,138.0
Lehrer,660.0,151.0,24461,25472,643.0,215.0
Schule,769.0,152.0,25703,26572,802.0,146.0
Erde,706.0,365.0,31602,32025,706.0,354.0
Laub,817.0,342.0,1141,1505,56.0,52.0
Ast,513.0,127.0,2225,2574,52.0,49.0
Schule,480.0,423.0,3073,3409,48.0,46.0
Lehrer,880.0,544.0,4009,4419,44.0,43.0
Physik,567.0,578.0,5056,5991,40.0,40.0
Schule,461.0,576.0,7372,9792,480.0,423.0
Lehrer,515.0,491.0,10357,11738,880.0,544.0
Lehrer,553.0,305.0,15632,16139,515.0,491.0
Schule,491.0,399.0,16632,17424,461.0,576.0
Physik,592.0,401.0,17853,18955,567.0,578.0
Laub,788.0,560.0,20284,23187,817.0,342.0
Ast,888.0,643.0,23934,27888,513.0,127.0
Laub,826.0,561.0,30382,31525,788.0,560.0
Physik,629.0,434.0,32049,32836,592.0,401.0
Schule,524.0,389.0,33734,34719,491.0,399.0
Lehrer,620.0,312.0,35148,35887,553.0,305.0
Physik,627.0,398.0,36548,38554,629.0,434.0
Lehrer,554.0,303.0,39863,41670,620.0,312.0
Physik,653.0,405.0,42316,44756,627.0,398.0
Laub,844.0,552.0,45397,46720,826.0,561.0
Ast,927.0,612.0,47116,48336,888.0,643.0
Laub,897.0,578.0,50865,51602,844.0,552.0
Ast,1009.0,627.0,52950,53537,927.0,612.0
Laub,929.0,595.0,53917,54203,897.0,578.0
Ast,1027.0,645.0,54597,55068,1009.0,627.0
Fahrrad,679.0,399.0,1217,1508,56.0,52.0
Ast,705.0,205.0,2034,2324,52.0,49.0
Photosynthese,261.0,341.0,2847,3040,48.0,46.0
Laub,443.0,230.0,3665,3937,44.0,43.0
Infrastruktur,863.0,437.0,4582,5869,40.0,40.0
Laub,589.0,202.0,14898,15655,443.0,230.0
Photosynthese,481.0,249.0,16349,18668,261.0,341.0
Fahrrad,897.0,627.0,20549,21520,679.0,399.0
Infrastruktur,1054.0,624.0,21917,24701,863.0,437.0
Fahrrad,858.0,659.0,26333,26819,897.0,627.0
